W1,W2,E1,E2,M1,M2,U1,V1,V2
17.219966888427734,75.19648742675781,25.050537109375,52.53964614868164,108.81909942626953,34.00584030151367,44.19692611694336,51.86463928222656,37.016204833984375
17.324201583862305,75.3375473022461,25.16309356689453,52.64630889892578,109.11529541015625,33.48213195800781,44.181453704833984,51.90736770629883,36.7977180480957
17.44812774658203,75.47789764404297,25.299419403076172,52.75008773803711,109.44053649902344,32.94534683227539,44.17233657836914,51.94577407836914,36.50477981567383
17.560962677001953,75.61738586425781,25.41031265258789,52.85392379760742,109.80194091796875,32.43064498901367,44.163455963134766,51.978614807128906,36.23012161254883
17.657989501953125,75.74937438964844,25.515850067138672,52.95182418823242,110.11083221435547,31.949499130249023,44.15510940551758,52.01235580444336,36.014434814453125
17.780412673950195,75.88127136230469,25.64761734008789,53.05314636230469,110.404541015625,31.478519439697266,44.14699172973633,52.05264663696289,35.78356170654297
17.896339416503906,76.0043716430664,25.769588470458984,53.146385192871094,110.74812316894531,31.01348304748535,44.141334533691406,52.083621978759766,35.50975036621094
17.999454498291016,76.12982177734375,25.86798095703125,53.24650955200195,111.02124786376953,30.556121826171875,44.13835906982422,52.12314987182617,35.266849517822266
18.101581573486328,76.25382232666016,25.96901512145996,53.35114669799805,111.32893371582031,30.116439819335938,44.136287689208984,52.15891647338867,35.0010986328125
18.181482315063477,76.37267303466797,26.060579299926758,53.44493103027344,111.5889663696289,29.714181900024414,44.13288116455078,52.19074249267578,34.7704963684082
18.25395965576172,76.49183654785156,26.128440856933594,53.5432243347168,111.8863754272461,29.275402069091797,44.138648986816406,52.222251892089844,34.53416061401367
18.344316482543945,76.60934448242188,26.221593856811523,53.63153839111328,112.14823150634766,28.882415771484375,44.1381950378418,52.25282669067383,34.333595275878906
18.45161247253418,76.72308349609375,26.331281661987305,53.72535705566406,112.38845825195312,28.47585105895996,44.1469841003418,52.286800384521484,34.151824951171875
18.540454864501953,76.84028625488281,26.419498443603516,53.820465087890625,112.67179870605469,28.09604263305664,44.15071487426758,52.3166389465332,33.97768020629883
18.605051040649414,76.94839477539062,26.49321174621582,53.90607833862305,112.93831634521484,27.75985336303711,44.15103530883789,52.34170913696289,33.866119384765625
18.70541763305664,77.05240631103516,26.60079574584961,53.99045944213867,113.1729965209961,27.416179656982422,44.154945373535156,52.37725830078125,33.69632339477539
18.785085678100586,77.15533447265625,26.67669105529785,54.075904846191406,113.42877197265625,27.092449188232422,44.15645217895508,52.40917205810547,33.541175842285156
18.858516693115234,77.25711822509766,26.754512786865234,54.15814208984375,113.70433807373047,26.783716201782227,44.15937423706055,52.43456268310547,33.42673873901367
18.95899772644043,77.3602294921875,26.857297897338867,54.24454879760742,113.96696472167969,26.476547241210938,44.169837951660156,52.46879577636719,33.2800407409668
19.051639556884766,77.46236419677734,26.953824996948242,54.333953857421875,114.22669982910156,26.185083389282227,44.1741943359375,52.5025520324707,33.16918182373047
19.105022430419922,77.56307983398438,27.00728416442871,54.420352935791016,114.44889831542969,25.910322189331055,44.18342208862305,52.536624908447266,33.07190704345703
19.182388305664062,77.6581802368164,27.08483123779297,54.50196838378906,114.69324493408203,25.669649124145508,44.19114303588867,52.56211853027344,32.98876953125
19.202648162841797,77.67240905761719,27.0845947265625,54.519439697265625,114.71305084228516,25.68243408203125,44.200294494628906,52.57648468017578,33.06745147705078
19.263038635253906,77.77017974853516,27.158166885375977,54.60321807861328,114.9780502319336,25.410181045532227,44.21033477783203,52.60959243774414,32.86415100097656
19.33193016052246,77.8652114868164,27.23804473876953,54.69314193725586,115.20996856689453,25.13938331604004,44.22066879272461,52.640159606933594,32.63692855834961
19.438467025756836,77.95800018310547,27.340621948242188,54.775943756103516,115.4963607788086,24.884401321411133,44.23815155029297,52.668575286865234,32.48029708862305
19.515146255493164,78.0468521118164,27.42487907409668,54.85659408569336,115.75544738769531,24.63949203491211,44.247657775878906,52.6968994140625,32.40577697753906
19.57861328125,78.13513946533203,27.49578285217285,54.93673324584961,116.03987884521484,24.3925838470459,44.25912857055664,52.72256851196289,32.249305725097656
19.655651092529297,78.2215347290039,27.566150665283203,55.016510009765625,116.29084014892578,24.166725158691406,44.27170944213867,52.75095748901367,32.106483459472656
19.686992645263672,78.30757141113281,27.594707489013672,55.09184265136719,116.52035522460938,23.950658798217773,44.277587890625,52.777923583984375,32.006507873535156
19.74101448059082,78.39328002929688,27.644634246826172,55.16640090942383,116.75249481201172,23.730451583862305,44.29253387451172,52.8010368347168,31.875673294067383
19.811567306518555,78.47594451904297,27.730066299438477,55.24086380004883,116.97990417480469,23.53080177307129,44.30361557006836,52.8248176574707,31.75653648376465
19.87273406982422,78.55892944335938,27.789865493774414,55.316043853759766,117.20330810546875,23.3242130279541,44.31673812866211,52.8487548828125,31.587602615356445
19.926366806030273,78.64302825927734,27.84123992919922,55.39373779296875,117.42787170410156,23.11429214477539,44.33564376831055,52.87336730957031,31.45319366455078
19.988183975219727,78.7253189086914,27.904483795166016,55.46848678588867,117.65616607666016,22.925254821777344,44.349365234375,52.89728927612305,31.334728240966797
